Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
135,8589,Kyle GARLAND,28 MAY 2000,USA,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1218,10.57,7.87,15.65,2.10,47.89,13.66,46.76,5.00,53.43,4:54.59
137,8587,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Népstadion, Budapest (HUN)",20 AUG 1998,1217,10.87,7.44,16.04,2.06,46.95,13.96,47.85,5.00,55.34,4:33.98
138,8586,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1217,10.70,7.19,16.08,2.06,47.44,14.03,48.95,5.00,59.84,4:39.68
139,8585,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),01 JUN 2003,1217,10.65,7.42,16.48,2.18,48.74,14.09,46.71,5.00,62.06,5:00.25
139,8585,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"FBK Stadium, Hengelo (NED)",29 JUN 2008,1217,10.98,7.68,14.22,2.13,48.17,14.17,41.85,5.20,64.09,4:29.92
141,8583,Tom PAPPAS,06 SEP 1976,USA,2,Götzis (AUT),02 JUN 2002,1217,10.85,7.62,15.32,2.18,49.47,13.93,45.75,5.20,63.42,4:57.17
142,8582,Tomáš DVOŘÁK,11 MAY 1972,CZE,2f,Götzis (AUT),01 JUN 1997,1217,10.63,7.76,15.88,1.91,47.87,13.74,45.08,4.70,69.86,4:41.20
143,8580,Kai KAZMIREK,28 JAN 1991,GER,4,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1216,10.78,7.69,14.20,2.10,46.75,14.62,43.25,5.00,64.60,4:31.25
144,8576,Chris HUFFINS,19 APR 1970,USA,2,"New York, NY (USA)",20 JUL 1998,1216,10.68,7.85,15.66,2.14,48.17,14.14,49.72,4.70,61.12,4:59.99
145,8575,Erki NOOL,25 JUN 1970,EST,1,Götzis (AUT),28 MAY 1995,1216,10.71,8.10,14.13,1.99,46.98,14.79,39.16,5.40,65.42,4:37.51
146,8574,Christian PLAZIAT,28 OCT 1963,FRA,1,"Poljud Stadion, Split (CRO)",29 AUG 1990,1215,10.72,7.77,14.19,2.10,47.10,13.98,44.36,5.00,54.72,4:27.83
146,8574,Oleksandr YURKOV,21 JUL 1975,UKR,4,Götzis (AUT),04 JUN 2000,1215,10.69,7.93,15.26,2.03,49.74,14.56,47.85,5.15,58.92,4:32.49
148,8573,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,3,Götzis (AUT),31 MAY 1998,1215,10.74,7.60,16.03,2.03,47.66,14.24,47.82,5.10,59.77,4:46.43
148,8573,Zachery ZIEMEK,23 FEB 1993,USA,3,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,1215,10.56,7.62,14.97,2.10,50.44,14.71,51.64,5.15,60.10,4:39.60
150,8572,Niklas KAUL,11 FEB 1998,GER,1,"Gunder Hägg Stadion, Gävle (SWE)",14 JUL 2019,1215,11.17,7.26,15.19,2.03,48.67,14.83,47.35,4.80,77.36,4:17.63
151,8571,Lev LOBODIN,01 APR 1969,RUS,3,"Népstadion, Budapest (HUN)",20 AUG 1998,1215,10.66,7.42,15.67,2.03,48.65,13.97,46.55,5.20,56.55,4:30.27
152,8569,Tom PAPPAS,06 SEP 1976,USA,1,Marburg (GER),09 AUG 2009,1215,10.84,7.63,16.82,2.07,49.49,14.19,51.57,5.05,61.70,5:00.77
153,8567,Dean MACEY,12 DEC 1977,GBR,4,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1214,10.81,7.77,14.62,2.09,46.41,14.53,43.37,4.80,60.38,4:23.45
154,8566,Sebastian CHMARA,21 NOV 1971,POL,1,Alhama de Murcia (ESP),17 MAY 1998,1214,10.97,7.56,16.03,2.10,48.27,14.32,44.39,5.20,57.25,4:29.66
155,8564,Rico FREIMUTH,14 MAR 1988,GER,2,"Olympic Stadium, London (GBR)",12 AUG 2017,1214,10.53,7.48,14.85,1.99,48.41,13.68,51.17,4.80,62.34,4:41.57
156,8561,Rico FREIMUTH,14 MAR 1988,GER,3,"National Stadium, Beijing (CHN)",29 AUG 2015,1213,10.51,7.51,15.50,1.95,47.82,13.91,50.17,4.80,60.61,4:37.05
156,8561,Sander SKOTHEIM,31 MAY 2002,NOR,2,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,1213,10.86,7.70,13.74,2.15,47.69,14.68,43.31,5.10,57.93,4:16.60
158,8558,Pascal BEHRENBRUCH,19 JAN 1985,GER,1,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1213,10.93,7.15,16.89,1.97,48.54,14.16,48.24,5.00,67.45,4:34.02
159,8556,Frank BUSEMANN,26 FEB 1975,GER,1,Ratingen (GER),01 JUN 1997,1213,10.73,7.68,14.18,2.07,49.88,13.49,43.26,5.00,66.96,4:36.54
159,8556,Dean MACEY,12 DEC 1977,GBR,2,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1213,10.69,7.48,15.14,2.12,46.72,14.35,43.78,4.60,64.03,4:29.31
161,8555,Michael SMITH,16 SEP 1967,CAN,3,Götzis (AUT),01 JUN 1997,1212,11.04,7.52,17.45,2.00,48.71,14.72,50.16,4.80,70.54,4:46.60
162,8554,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Götzis (AUT),04 JUN 2000,1212,10.64,7.24,15.72,2.18,48.13,14.87,45.64,4.65,63.57,4:23.13
163,8553,Dmitriy KARPOV,23 JUL 1981,KAZ,2,Kladno (CZE),20 JUN 2007,1212,10.90,7.54,16.36,2.03,47.75,14.42,52.24,5.00,55.66,4:40.28
163,8553,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,1212,10.98,7.73,14.00,2.13,47.17,14.08,44.08,5.15,64.08,4:48.99
165,8552,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,"Népstadion, Budapest (HUN)",20 AUG 1998,1212,10.60,7.39,16.03,1.97,46.49,14.12,39.34,5.10,63.99,4:32.23
165,8552,Kevin MAYER,10 FEB 1992,FRA,1,"Stade P-J. Bénard, St-Paul (FRA)",19 DEC 2020,1212,10.68,7.40,16.20,1.97,48.87,13.54,50.32,4.65,67.66,4:47.74
167,8551,Andrei KRAUCHANKA,04 JAN 1986,BLR,2,"National Stadium, Beijing (CHN)",22 AUG 2008,1212,10.96,7.61,14.39,2.11,47.30,14.21,44.58,5.00,60.23,4:27.47
168,8550,Lindon VICTOR,28 FEB 1993,GRN,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,1212,10.61,7.49,15.75,2.02,48.20,14.70,51.00,4.80,66.01,4:43.74
169,8549,Michael SMITH,16 SEP 1967,CAN,2,"National Stadium, Tokyo (JPN)",30 AUG 1991,1211,10.81,7.68,15.69,2.09,47.53,14.78,48.42,4.40,65.46,4:29.14
170,8548,Paul MEIER,27 JUL 1971,GER,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1211,10.57,7.57,15.45,2.15,47.73,14.63,45.72,4.60,61.22,4:32.05
170,8548,Steve FRITZ,01 NOV 1967,USA,2,"Knoxville, TN (USA)",15 JUN 1994,1211,10.63,7.84,14.37,2.05,48.70,14.27,46.76,4.95,64.58,4:43.09
172,8547,Chris HUFFINS,19 APR 1970,USA,3,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1211,10.43,7.67,15.67,2.00,49.04,13.98,49.48,4.80,64.35,4:53.83
173,8546,Chris HUFFINS,19 APR 1970,USA,3,"Atlanta, GA (USA)",22 JUN 1996,1211,10.22,7.91,16.44,2.02,48.05,14.09,48.62,4.80,63.64,5:27.42
174,8545,Niklas KAUL,11 FEB 1998,GER,1,"Olympiastadion, München (GER)",16 AUG 2022,1211,11.16,7.10,14.90,2.02,47.87,14.45,41.80,4.90,76.05,4:10.04
175,8543,Erki NOOL,25 JUN 1970,EST,6,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1211,10.65,7.88,14.01,2.01,47.26,15.03,42.98,5.40,65.48,4:43.36
176,8539,Lindon VICTOR,28 FEB 1993,GRN,1,"Columbia, SC (USA)",12 MAY 2017,1210,10.64,7.35,15.18,2.05,48.74,14.45,55.22,4.70,68.97,4:55.91
176,8539,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1210,10.57,7.61,14.62,1.91,48.37,14.16,43.52,5.40,62.13,4:30.32
178,8538,Roman ŠEBRLE,26 NOV 1974,CZE,4,Götzis (AUT),31 MAY 1998,1210,10.75,7.85,15.09,2.09,48.38,14.22,43.72,4.90,63.14,4:41.08
178,8538,Ilya SHKURENYOV,11 JAN 1991,RUS,4,"National Stadium, Beijing (CHN)",29 AUG 2015,1210,11.01,7.50,14.09,2.10,47.88,14.27,44.53,5.20,60.99,4:24.98
180,8534,Erki NOOL,25 JUN 1970,EST,4f,Götzis (AUT),01 JUN 1997,1209,10.50,7.90,14.63,1.94,46.53,14.41,37.56,5.30,65.18,4:41.82
180,8534,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1209,11.06,7.85,15.36,2.06,49.17,14.50,47.77,4.80,66.57,4:33.74
180,8534,Trey HARDEE,07 FEB 1984,USA,2,"Eugene, OR (USA)",30 JUN 2008,1209,10.43,7.75,14.07,2.02,47.99,13.71,42.41,5.00,63.69,4:44.79
180,8534,Pierce LEPAGE,22 JAN 1996,CAN,2,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1209,10.30,7.45,14.31,2.00,47.65,14.05,48.25,5.10,57.06,4:40.69
184,8532,Ayden OWENS-DELERME,28 MAY 2000,PUR,4,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1209,10.52,7.64,14.97,2.02,45.07,13.88,42.36,4.50,50.98,4:13.02
185,8531,Frank BUSEMANN,26 FEB 1975,GER,6,Götzis (AUT),04 JUN 2000,1209,10.76,7.92,14.50,2.03,48.87,14.72,43.66,5.05,62.78,4:23.23
186,8529,Damian WARNER,04 NOV 1989,CAN,3,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1208,10.35,7.67,15.17,2.02,48.12,13.56,42.19,4.70,62.87,4:40.77
187,8528,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1208,10.27,7.51,14.89,1.92,46.12,13.80,43.00,4.70,53.50,4:13.17
188,8527,Roman ŠEBRLE,26 NOV 1974,CZE,2,Praha (CZE),04 JUL 1999,1208,10.74,7.73,14.77,2.13,48.02,13.93,45.12,4.60,64.06,4:42.48
188,8527,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,Götzis (AUT),27 MAY 2001,1208,10.84,7.69,15.83,1.97,48.76,13.99,46.74,4.70,66.66,4:33.58
188,8527,Leonel SUÁREZ,01 SEP 1987,CUB,3,"National Stadium, Beijing (CHN)",22 AUG 2008,1208,10.90,7.33,14.49,2.05,47.91,14.15,44.45,4.70,73.98,4:29.17
191,8526,Francisco Javier BENET,25 MAR 1968,ESP,2,Alhama de Murcia (ESP),17 MAY 1998,1208,10.72,7.45,14.57,1.92,48.10,13.83,46.12,5.00,65.37,4:26.81
191,8526,Kristjan RAHNU,29 AUG 1979,EST,1,Arles (FRA),05 JUN 2005,1208,10.52,7.58,15.51,1.99,48.60,14.04,50.81,4.95,60.71,4:52.18
191,8526,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1208,10.98,7.72,15.53,2.09,49.11,14.27,45.47,5.00,66.90,4:46.91
194,8525,Michael SMITH,16 SEP 1967,CAN,1,Auckland (NZL),29 JAN 1990,1208,10.85,7.52,14.62,2.05,47.77,14.34,47.56,4.70,64.18,4:24.06
194,8525,Tom PAPPAS,06 SEP 1976,USA,1,Talence (FRA),22 SEP 2002,1208,10.80,7.45,15.68,2.12,48.36,14.08,46.10,5.05,62.76,4:53.26
196,8524,Sébastien LEVICQ,25 JUN 1971,FRA,4,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1208,11.05,7.52,14.22,2.00,50.13,14.48,44.65,5.50,69.01,4:26.81
196,8524,Janek ÕIGLANE,25 APR 1994,EST,6,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1208,10.94,7.47,15.08,2.02,48.41,14.51,40.85,5.10,70.45,4:23.43
198,8523,Leonel SUÁREZ,01 SEP 1987,CUB,3,"Olympic Stadium, London (GBR)",09 AUG 2012,1207,11.27,7.52,14.50,2.11,49.04,14.45,45.75,4.70,76.94,4:30.08
198,8523,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1207,10.15,7.12,14.64,2.00,47.13,13.72,47.79,4.70,58.72,4:32.83
200,8522,Frank BUSEMANN,26 FEB 1975,GER,1,Lage (GER),16 JUN 1996,1207,10.67,7.80,14.04,2.04,48.66,13.66,42.92,4.80,62.80,4:28.16
200,8522,Michael SCHRADER,01 JUL 1987,GER,1,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1207,10.64,8.05,14.33,1.94,49.71,14.21,43.09,5.00,64.04,4:22.26
202,8521,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1207,10.91,7.86,16.29,2.06,48.62,14.71,46.85,4.80,63.21,4:39.54
202,8521,Kevin MAYER,10 FEB 1992,FRA,2,"Letzigrund, Zürich (SUI)",13 AUG 2014,1207,11.10,7.65,15.14,2.01,49.23,14.28,44.53,5.20,64.03,4:24.16
202,8521,Larbi BOURRADA,10 MAY 1988,ALG,5,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1207,10.75,7.52,13.78,2.10,47.98,14.15,42.39,4.60,66.49,4:14.60
205,8519,Guido KRATSCHMER,10 JAN 1953,FRG,1,Götzis (AUT),25 MAY 1986,1207,10.82,7.76,16.62,1.93,48.75,14.09,48.42,4.60,63.82,4:32.36
205,8519,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1207,10.96,7.62,15.23,2.06,49.54,14.55,45.45,4.96,64.15,4:20.87
207,8518,Christian PLAZIAT,28 OCT 1963,FRA,1,Helmond (NED),07 JUL 1991,1207,10.68,7.69,14.34,2.13,48.15,14.23,44.72,4.90,56.70,4:28.71
207,8518,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1207,11.10,7.84,15.58,2.09,49.27,14.52,45.15,4.80,70.09,4:39.92
207,8518,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1207,10.50,7.49,15.15,1.97,48.63,13.69,49.09,5.06,58.20,4:44.75
210,8517,Tom PAPPAS,06 SEP 1976,USA,2,"Sacramento, CA (USA)",17 JUL 2004,1206,10.75,7.51,15.87,2.07,48.01,14.23,46.80,5.00,60.75,4:47.38
211,8516,Trey HARDEE,07 FEB 1984,USA,2,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1206,10.48,7.74,13.93,2.00,48.42,14.11,45.11,5.10,63.98,4:43.79
212,8514,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Brisbane (AUS),07 SEP 2001,1206,10.78,7.61,16.16,1.97,48.77,13.98,47.62,4.70,69.22,4:46.58
212,8514,Pascal BEHRENBRUCH,19 JAN 1985,GER,1,"Stadionring, Ratingen (GER)",16 JUN 2013,1206,10.73,6.94,15.89,1.97,48.60,14.17,48.25,5.00,67.59,4:30.26
212,8514,Maicel UIBO,27 DEC 1992,EST,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1206,11.04,7.57,14.78,2.12,50.32,14.66,46.58,5.30,61.75,4:27.54
215,8513,Damian WARNER,04 NOV 1989,CAN,1,Lima (PER),07 AUG 2019,1206,10.32,7.74,15.01,1.97,47.77,13.68,48.82,4.40,59.48,4:38.31
216,8512,Dmitriy KARPOV,23 JUL 1981,KAZ,3,Götzis (AUT),30 MAY 2004,1206,10.76,7.78,15.40,2.06,47.51,14.01,52.33,4.50,55.54,4:42.77
216,8512,Damian WARNER,04 NOV 1989,CAN,3,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1206,10.43,7.39,14.23,2.05,48.41,13.96,44.13,4.80,64.67,4:29.97
218,8511,Tom PAPPAS,06 SEP 1976,USA,3,"Eugene, OR (USA)",30 JUN 2008,1206,10.90,7.77,17.26,1.96,49.80,14.17,49.44,5.20,59.34,4:54.08
219,8509,Oleksandr YURKOV,21 JUL 1975,UKR,3,Götzis (AUT),02 JUN 2002,1205,10.89,7.81,15.76,1.94,49.58,14.26,49.53,5.40,56.14,4:40.64
219,8509,Kurt FELIX,04 JUL 1988,GRN,2,"Stadionring, Ratingen (GER)",25 JUN 2017,1205,10.91,7.68,15.31,2.07,48.67,14.92,50.59,4.50,72.80,4:43.21
221,8508,Zachery ZIEMEK,23 FEB 1993,USA,2,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,1205,10.75,7.51,15.72,2.05,49.63,14.65,49.23,5.30,61.28,4:48.04
222,8506,Valter KÜLVET,19 FEB 1964,URS,1,Staiki (BLR),02 JUL 1988,1205,11.05,7.35,15.78,2.00,48.08,14.55,52.04,4.60,61.72,4:15.93
222,8506,Tomáš DVOŘÁK,11 MAY 1972,CZE,5,"Népstadion, Budapest (HUN)",20 AUG 1998,1205,10.77,7.61,15.87,1.97,48.11,14.07,46.38,4.70,65.12,4:34.62
222,8506,Bryan CLAY,03 JAN 1980,USA,1,"Carson, CA (USA)",24 JUN 2005,1205,10.70,7.44,14.88,2.06,49.62,14.06,55.87,5.00,60.02,4:57.11
222,8506,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1205,10.77,7.27,14.20,2.00,48.02,14.10,42.81,5.36,63.59,4:26.98
226,8505,Christian PLAZIAT,28 OCT 1963,FRA,1,Vénissieux (FRA),03 JUL 1994,1205,10.94,7.88,14.88,2.10,48.34,14.20,44.54,5.10,57.32,4:39.32
226,8505,Ashton EATON,21 JAN 1988,USA,2,"DS, Daegu (KOR)",28 AUG 2011,1205,10.46,7.46,14.44,2.02,46.99,13.85,46.17,4.60,55.17,4:18.94
228,8504,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1204,10.85,7.23,16.49,2.06,48.64,14.14,49.98,5.30,50.62,4:37.93
229,8501,Leonel SUÁREZ,01 SEP 1987,CUB,3,"DS, Daegu (KOR)",28 AUG 2011,1204,11.07,7.33,14.54,2.05,49.17,14.29,46.25,5.00,69.12,4:24.16
230,8500,Christian SCHENK,09 FEB 1965,GER,4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1204,11.22,7.63,15.72,2.15,48.78,15.29,46.94,4.80,65.32,4:24.44
230,8500,Harrison WILLIAMS,07 MAR 1996,USA,7,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1204,10.74,7.49,15.28,1.93,46.52,14.33,43.39,5.30,54.60,4:22.69
232,8498,Ilya SHKURENYOV,11 JAN 1991,RUS,3,"Letzigrund, Zürich (SUI)",13 AUG 2014,1204,11.05,7.50,14.20,2.10,49.00,14.14,46.04,5.20,63.58,4:35.89
233,8497,Aleksey SYSOYEV,08 MAR 1985,RUS,2,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1203,10.86,7.01,15.49,2.03,49.10,14.64,54.08,5.10,64.22,4:38.82
234,8496,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),30 MAY 2009,1203,10.88,7.36,16.50,2.10,48.77,14.07,43.97,4.80,68.10,4:46.80
235,8494,Lev LOBODIN,01 APR 1969,RUS,5,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1203,10.80,7.40,16.13,2.03,49.23,14.04,47.04,5.10,58.13,4:35.50
235,8494,Ilya SHKURENYOV,11 JAN 1991,ANA,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1203,11.02,7.61,14.71,2.11,49.36,14.28,48.75,5.20,59.56,4:41.95
237,8493,Bryan CLAY,03 JAN 1980,USA,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1203,10.40,7.80,15.30,2.09,48.41,13.97,36.14,4.80,69.09,4:51.32
238,8492,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),26 MAY 1996,1203,10.75,7.74,16.05,1.97,48.40,13.91,40.16,4.80,66.02,4:32.47
238,8492,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,1203,11.02,7.71,13.44,2.14,47.61,14.22,43.31,5.10,59.80,4:30.83
238,8492,Ashley MOLONEY,13 MAR 2000,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",20 DEC 2020,1203,10.36,7.67,13.62,2.11,45.82,14.17,43.93,4.80,57.77,4:48.48
238,8492,Harrison WILLIAMS,07 MAR 1996,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,1203,10.54,7.63,15.09,1.95,46.47,14.12,45.85,5.00,52.91,4:31.38
242,8491,Markus ROOTH,22 DEC 2001,NOR,8,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1202,10.84,7.62,13.22,2.02,48.27,14.47,48.78,5.10,64.84,4:34.11
243,8490,Jagan HAMES,31 OCT 1975,AUS,1,Kuala Lumpur (MAS),18 SEP 1998,1202
244,8489,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1202,10.90,7.31,15.71,1.95,47.05,13.73,49.96,5.10,55.88,4:41.01
245,8488,Christian SCHENK,09 FEB 1965,GDR,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1202,11.25,7.43,15.48,2.27,48.90,15.13,49.28,4.70,61.32,4:28.95
245,8488,Kai KAZMIREK,28 JAN 1991,GER,3,"Olympic Stadium, London (GBR)",12 AUG 2017,1202,10.91,7.64,13.78,2.11,47.19,14.66,45.06,5.10,62.45,4:38.07
247,8485,Christian PLAZIAT,28 OCT 1963,FRA,1,Götzis (AUT),18 JUN 1989,1201,10.68,7.77,14.06,2.11,47.83,14.03,43.28,4.90,52.36,4:23.49
247,8485,Stefan SCHMID,06 MAY 1970,GER,1,"Stadionring, Ratingen (GER)",23 JUL 2000,1201,10.82,7.59,14.14,2.01,48.99,14.20,44.24,5.06,67.63,4:31.76
247,8485,Steven BASTIEN,04 MAR 1994,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1201,10.52,7.20,14.47,2.08,47.79,14.24,42.10,4.95,61.20,4:22.21
250,8484,Karel TILGA,05 FEB 1998,EST,1,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,1201,11.13,7.69,15.32,2.10,49.53,15.16,47.13,4.92,66.55,4:26.95
250,8484,Niklas KAUL,11 FEB 1998,GER,1,"Stadionring, Ratingen (GER)",18 JUN 2023,1201,11.50,7.34,14.66,2.04,48.21,14.31,48.57,4.80,67.44,4:14.19
250,8484,Johannes ERM,26 MAR 1998,EST,9,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1201,10.69,7.72,15.38,1.93,47.05,14.90,45.09,4.90,60.56,4:22.19
253,8483,Bryan CLAY,03 JAN 1980,USA,1,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1201,10.35,7.51,15.38,2.06,49.66,14.08,49.85,4.60,66.19,4:56.37
254,8482,Bryan CLAY,03 JAN 1980,USA,2,"Palo Alto, CA (USA)",22 JUN 2003,1201,10.43,7.71,14.01,2.02,47.85,14.12,43.51,4.70,67.77,4:42.19
254,8482,Karel TILGA,05 FEB 1998,EST,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",30 APR 2023,1201,11.16,7.66,16.19,2.07,48.71,14.85,45.46,4.75,64.05,4:21.91
256,8481,Christian SCHENK,09 FEB 1965,GDR,1,Götzis (AUT),17 JUN 1990,1201,11.36,7.73,15.58,2.23,49.68,15.29,48.12,4.80,63.74,4:30.18
256,8481,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2018,1201,10.85,7.28,15.93,1.89,48.40,14.01,44.77,4.90,67.61,4:22.22
258,8480,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1201,10.90,7.15,15.96,2.15,49.46,14.63,47.90,4.90,62.79,4:31.89
259,8479,Oleksiy KASYANOV,26 AUG 1985,UKR,3,"Olympiastadion, Berlin (GER)",20 AUG 2009,1201,10.63,7.80,15.72,2.05,47.85,14.44,46.70,4.80,49.00,4:24.52
260,8478,Antonio PEÑALVER,01 DEC 1968,ESP,1,Alhama de Murcia (ESP),24 MAY 1992,1200,10.76,7.19,16.50,2.12,49.50,14.32,47.38,5.00,59.32,4:39.94
260,8478,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Talence (FRA),15 SEP 1996,1200,10.89,7.29,16.40,2.04,47.62,14.18,46.88,4.95,56.80,4:33.15
260,8478,Eelco SINTNICOLAAS,07 APR 1987,NED,4,"Letzigrund, Zürich (SUI)",13 AUG 2014,1200,10.90,7.65,14.28,2.01,48.44,14.12,42.56,5.40,59.37,4:30.95
260,8478,Kai KAZMIREK,28 JAN 1991,GER,3,"Stadionring, Ratingen (GER)",25 JUN 2017,1200,10.85,7.50,14.63,2.07,47.40,14.62,45.19,5.20,60.52,4:38.24
260,8478,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2023,1200,10.75,7.47,16.66,2.04,48.83,14.33,52.65,5.10,51.92,4:50.31
265,8477,Roman ŠEBRLE,26 NOV 1974,CZE,6,"Népstadion, Budapest (HUN)",20 AUG 1998,1200,10.73,7.60,14.90,2.09,48.28,14.27,42.57,4.90,62.82,4:35.21
265,8477,Arthur ABELE,30 JUL 1986,GER,5,"Letzigrund, Zürich (SUI)",13 AUG 2014,1200,10.90,7.55,15.39,1.98,48.59,13.55,43.25,4.70,62.45,4:20.37
267,8476,Garrett SCANTLING,19 MAY 1993,USA,2,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,1200,10.83,7.56,16.20,2.01,48.61,14.18,42.45,5.22,65.75,4:53.11
268,8475,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1200,10.97,7.25,16.49,2.12,50.00,14.76,48.62,5.00,63.51,4:36.93
269,8474,Lindon VICTOR,28 FEB 1993,GRN,5,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1200,10.78,7.26,16.29,2.02,49.27,14.76,53.92,4.80,66.20,4:47.22
270,8473,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),26 MAY 1985,1200,11.14,7.50,16.26,1.96,48.79,14.69,47.50,4.90,69.86,4:32.13
270,8473,Lindon VICTOR,28 FEB 1993,GRN,2,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1200,10.56,7.43,16.02,2.00,49.22,14.86,54.03,4.80,66.48,4:56.37
