Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
170,8548,Steve FRITZ,01 NOV 1967,USA,2,"Knoxville, TN (USA)",15 JUN 1994,7.84,46.76,64.58,4:43.09,22.83,3967
172,8547,Chris HUFFINS,19 APR 1970,USA,3,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.67,49.48,64.35,4:53.83,23.40,3767
173,8546,Chris HUFFINS,19 APR 1970,USA,3,"Atlanta, GA (USA)",22 JUN 1996,7.91,48.62,63.64,5:27.42,22.85,3447
174,8545,Niklas KAUL,11 FEB 1998,GER,1,"Olympiastadion, München (GER)",16 AUG 2022,7.1,41.8,76.05,4:10.04,23.34,4222
175,8543,Erki NOOL,25 JUN 1970,EST,6,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.88,42.98,65.48,4:43.36,23.17,3870
176,8539,Lindon VICTOR,28 FEB 1993,GRN,1,"Columbia, SC (USA)",12 MAY 2017,7.35,55.22,68.97,4:55.91,23.29,3857
176,8539,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.61,43.52,62.13,4:30.32,23.30,3920
178,8538,Roman ŠEBRLE,26 NOV 1974,CZE,4,Götzis (AUT),31 MAY 1998,7.85,43.72,63.14,4:41.08,22.51,3961
178,8538,Ilya SHKURENYOV,11 JAN 1991,RUS,4,"National Stadium, Beijing (CHN)",29 AUG 2015,7.5,44.53,60.99,4:24.98,23.76,3903
180,8534,Erki NOOL,25 JUN 1970,EST,4f,Götzis (AUT),01 JUN 1997,7.9,37.56,65.18,4:41.82,22.95,3820
180,8534,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.85,47.77,66.57,4:33.74,22.75,4143
180,8534,Trey HARDEE,07 FEB 1984,USA,2,"Eugene, OR (USA)",30 JUN 2008,7.75,42.41,63.69,4:44.79,22.04,3940
180,8534,Pierce LEPAGE,22 JAN 1996,CAN,2,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.45,48.25,57.06,4:40.69,23.46,3750
184,8532,Ayden OWENS-DELERME,28 MAY 2000,PUR,4,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.64,42.36,50.98,4:13.02,22.94,4012
185,8531,Frank BUSEMANN,26 FEB 1975,GER,6,Götzis (AUT),04 JUN 2000,7.92,43.66,62.78,4:23.23,22.22,4232
186,8529,Damian WARNER,04 NOV 1989,CAN,3,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.67,42.19,62.87,4:40.77,23.17,3806
187,8528,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,7.51,43,53.5,4:13.17,23.48,3957
188,8527,Roman ŠEBRLE,26 NOV 1974,CZE,2,Praha (CZE),04 JUL 1999,7.73,45.12,64.06,4:42.48,23.24,3859
188,8527,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,Götzis (AUT),27 MAY 2001,7.69,46.74,66.66,4:33.58,23.18,4035
188,8527,Leonel SUÁREZ,01 SEP 1987,CUB,3,"National Stadium, Beijing (CHN)",22 AUG 2008,7.33,44.45,73.98,4:29.17,23.21,4070
191,8526,Francisco Javier BENET,25 MAR 1968,ESP,2,Alhama de Murcia (ESP),17 MAY 1998,7.45,46.12,65.37,4:26.81,23.69,3970
191,8526,Kristjan RAHNU,29 AUG 1979,EST,1,Arles (FRA),05 JUN 2005,7.58,50.81,60.71,4:52.18,23.16,3773
191,8526,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.72,45.47,66.9,4:46.91,23.32,3837
194,8525,Michael SMITH,16 SEP 1967,CAN,1,Auckland (NZL),29 JAN 1990,7.52,47.56,64.18,4:24.06,24.08,3977
194,8525,Tom PAPPAS,06 SEP 1976,USA,1,Talence (FRA),22 SEP 2002,7.45,46.1,62.76,4:53.26,23.43,3638
196,8524,Sébastien LEVICQ,25 JUN 1971,FRA,4,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.52,44.65,69.01,4:26.81,23.86,3987
196,8524,Janek ÕIGLANE,25 APR 1994,EST,6,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.47,40.85,70.45,4:23.43,22.48,4154
198,8523,Leonel SUÁREZ,01 SEP 1987,CUB,3,"Olympic Stadium, London (GBR)",09 AUG 2012,7.52,45.75,76.94,4:30.08,23.33,4149
198,8523,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.12,47.79,58.72,4:32.83,23.66,3764
200,8522,Frank BUSEMANN,26 FEB 1975,GER,1,Lage (GER),16 JUN 1996,7.8,42.92,62.8,4:28.16,23.48,3962
200,8522,Michael SCHRADER,01 JUL 1987,GER,1,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,8.05,43.09,64.04,4:22.26,23.81,4066
202,8521,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.86,46.85,63.21,4:39.54,23.16,3954
202,8521,Kevin MAYER,10 FEB 1992,FRA,2,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.65,44.53,64.03,4:24.16,23.46,4029
202,8521,Larbi BOURRADA,10 MAY 1988,ALG,5,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.52,42.39,66.49,4:14.60,23.82,4067
205,8519,Guido KRATSCHMER,10 JAN 1953,FRG,1,Götzis (AUT),25 MAY 1986,7.76,48.42,63.82,4:32.36,23.17,4058
205,8519,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,7.62,45.45,64.15,4:20.87,23.82,4034
207,8518,Christian PLAZIAT,28 OCT 1963,FRA,1,Helmond (NED),07 JUL 1991,7.69,44.72,56.7,4:28.71,23.21,3915
207,8518,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.84,45.15,70.09,4:39.92,23.17,4009
207,8518,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.49,49.09,58.2,4:44.75,23.13,3783
210,8517,Tom PAPPAS,06 SEP 1976,USA,2,"Sacramento, CA (USA)",17 JUL 2004,7.51,46.8,60.75,4:47.38,23.44,3707
211,8516,Trey HARDEE,07 FEB 1984,USA,2,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.74,45.11,63.98,4:43.79,23.35,3828
212,8514,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Brisbane (AUS),07 SEP 2001,7.61,47.62,69.22,4:46.58,24.13,3780
212,8514,Pascal BEHRENBRUCH,19 JAN 1985,GER,1,"Stadionring, Ratingen (GER)",16 JUN 2013,6.94,48.25,67.59,4:30.26,22.80,4006
212,8514,Maicel UIBO,27 DEC 1992,EST,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.57,46.58,61.75,4:27.54,23.01,4035
215,8513,Damian WARNER,04 NOV 1989,CAN,1,Lima (PER),07 AUG 2019,7.74,48.82,59.48,4:38.31,23.09,3936
216,8512,Dmitriy KARPOV,23 JUL 1981,KAZ,3,Götzis (AUT),30 MAY 2004,7.78,52.33,55.54,4:42.77,23.87,3793
216,8512,Damian WARNER,04 NOV 1989,CAN,3,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.39,44.13,64.67,4:29.97,23.79,3858
218,8511,Tom PAPPAS,06 SEP 1976,USA,3,"Eugene, OR (USA)",30 JUN 2008,7.77,49.44,59.34,4:54.08,23.50,3700
219,8509,Oleksandr YURKOV,21 JUL 1975,UKR,3,Götzis (AUT),02 JUN 2002,7.81,49.53,56.14,4:40.64,23.71,3805
219,8509,Kurt FELIX,04 JUL 1988,GRN,2,"Stadionring, Ratingen (GER)",25 JUN 2017,7.68,50.59,72.8,4:43.21,23.39,4042
221,8508,Zachery ZIEMEK,23 FEB 1993,USA,2,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,7.51,49.23,61.28,4:48.04,23.22,3781
222,8506,Valter KÜLVET,19 FEB 1964,URS,1,Staiki (BLR),02 JUL 1988,7.35,52.04,61.72,4:15.93,23.67,4144
222,8506,Tomáš DVOŘÁK,11 MAY 1972,CZE,5,"Népstadion, Budapest (HUN)",20 AUG 1998,7.61,46.38,65.12,4:34.62,23.19,3975
222,8506,Bryan CLAY,03 JAN 1980,USA,1,"Carson, CA (USA)",24 JUN 2005,7.44,55.87,60.02,4:57.11,23.41,3731
222,8506,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,7.27,42.81,63.59,4:26.98,22.64,3984
226,8505,Christian PLAZIAT,28 OCT 1963,FRA,1,Vénissieux (FRA),03 JUL 1994,7.88,44.54,57.32,4:39.32,23.45,3797
226,8505,Ashton EATON,21 JAN 1988,USA,2,"DS, Daegu (KOR)",28 AUG 2011,7.46,46.17,55.17,4:18.94,23.77,3917
228,8504,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.23,49.98,50.62,4:37.93,23.74,3640
229,8501,Leonel SUÁREZ,01 SEP 1987,CUB,3,"DS, Daegu (KOR)",28 AUG 2011,7.33,46.25,69.12,4:24.16,22.67,4169
230,8500,Christian SCHENK,09 FEB 1965,GER,4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.63,46.94,65.32,4:24.44,23.70,4051
230,8500,Harrison WILLIAMS,07 MAR 1996,USA,7,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.49,43.39,54.6,4:22.69,23.61,3839
232,8498,Ilya SHKURENYOV,11 JAN 1991,RUS,3,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.5,46.04,63.58,4:35.89,23.51,3865
233,8497,Aleksey SYSOYEV,08 MAR 1985,RUS,2,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.01,54.08,64.22,4:38.82,23.61,3865
234,8496,Yordani GARCÍA,21 NOV 1988,CUB,1,La Habana (CUB),30 MAY 2009,7.36,43.97,68.1,4:46.80,23.80,3685
235,8494,Lev LOBODIN,01 APR 1969,RUS,5,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.4,47.04,58.13,4:35.50,23.07,3849
235,8494,Ilya SHKURENYOV,11 JAN 1991,ANA,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.61,48.75,59.56,4:41.95,23.30,3834
237,8493,Bryan CLAY,03 JAN 1980,USA,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.8,36.14,69.09,4:51.32,23.22,3672
238,8492,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),26 MAY 1996,7.74,40.16,66.02,4:32.47,22.18,4065
238,8492,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,7.71,43.31,59.8,4:30.83,22.52,4003
238,8492,Ashley MOLONEY,13 MAR 2000,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",20 DEC 2020,7.67,43.93,57.77,4:48.48,23.32,3650
242,8491,Markus ROOTH,22 DEC 2001,NOR,8,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.62,48.78,64.84,4:34.11,22.95,4056
244,8489,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.31,49.96,55.88,4:41.01,23.00,3792
245,8488,Christian SCHENK,09 FEB 1965,GDR,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.43,49.28,61.32,4:28.95,23.06,4024
245,8488,Kai KAZMIREK,28 JAN 1991,GER,3,"Olympic Stadium, London (GBR)",12 AUG 2017,7.64,45.06,62.45,4:38.07,23.54,3830
247,8485,Christian PLAZIAT,28 OCT 1963,FRA,1,Götzis (AUT),18 JUN 1989,7.77,43.28,52.36,4:23.49,22.94,3946
247,8485,Stefan SCHMID,06 MAY 1970,GER,1,"Stadionring, Ratingen (GER)",23 JUL 2000,7.59,44.24,67.63,4:31.76,23.93,3904
247,8485,Steven BASTIEN,04 MAR 1994,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.2,42.1,61.2,4:22.21,23.74,3834
250,8484,Karel TILGA,05 FEB 1998,EST,1,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,7.69,47.13,66.55,4:26.95,22.81,4173
250,8484,Niklas KAUL,11 FEB 1998,GER,1,"Stadionring, Ratingen (GER)",18 JUN 2023,7.34,48.57,67.44,4:14.19,23.45,4210
250,8484,Johannes ERM,26 MAR 1998,EST,9,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.72,45.09,60.56,4:22.19,22.90,4105
253,8483,Bryan CLAY,03 JAN 1980,USA,1,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.51,49.85,66.19,4:56.37,23.68,3695
254,8482,Bryan CLAY,03 JAN 1980,USA,2,"Palo Alto, CA (USA)",22 JUN 2003,7.71,43.51,67.77,4:42.19,24.13,3761
254,8482,Karel TILGA,05 FEB 1998,EST,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",30 APR 2023,7.66,45.46,64.05,4:21.91,23.37,4089
256,8481,Christian SCHENK,09 FEB 1965,GDR,1,Götzis (AUT),17 JUN 1990,7.73,48.12,63.74,4:30.18,23.75,3994
256,8481,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2018,7.28,44.77,67.61,4:22.22,23.04,4084
258,8480,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.15,47.9,62.79,4:31.89,23.67,3841
259,8479,Oleksiy KASYANOV,26 AUG 1985,UKR,3,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.8,46.7,49,4:24.52,23.13,3929
260,8478,Antonio PEÑALVER,01 DEC 1968,ESP,1,Alhama de Murcia (ESP),24 MAY 1992,7.19,47.38,59.32,4:39.94,23.41,3725
260,8478,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Talence (FRA),15 SEP 1996,7.29,46.88,56.8,4:33.15,23.03,3838
260,8478,Eelco SINTNICOLAAS,07 APR 1987,NED,4,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.65,42.56,59.37,4:30.95,23.44,3845
260,8478,Kai KAZMIREK,28 JAN 1991,GER,3,"Stadionring, Ratingen (GER)",25 JUN 2017,7.5,45.19,60.52,4:38.24,23.25,3812
260,8478,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2023,7.47,52.65,51.92,4:50.31,23.46,3642
265,8477,Roman ŠEBRLE,26 NOV 1974,CZE,6,"Népstadion, Budapest (HUN)",20 AUG 1998,7.6,42.57,62.82,4:35.21,23.42,3833
265,8477,Arthur ABELE,30 JUL 1986,GER,5,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.55,43.25,62.45,4:20.37,23.98,3939
267,8476,Garrett SCANTLING,19 MAY 1993,USA,2,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,7.56,42.45,65.75,4:53.11,23.61,3614
268,8475,Aleksey DROZDOV,03 DEC 1983,RUS,4,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.25,48.62,63.51,4:36.93,23.69,3820
269,8474,Lindon VICTOR,28 FEB 1993,GRN,5,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.26,53.92,66.2,4:47.22,23.45,3861
270,8473,Uwe FREIMUTH,10 SEP 1961,GDR,1,Götzis (AUT),26 MAY 1985,7.5,47.5,69.86,4:32.13,23.17,4073
270,8473,Lindon VICTOR,28 FEB 1993,GRN,2,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.43,54.03,66.48,4:56.37,22.85,3870
272,8472,Lindon VICTOR,28 FEB 1993,GRN,1,"Austin, TX (USA)",30 MAR 2017,7.37,53,66.69,4:48.89,24.10,3767
273,8471,Kai KAZMIREK,28 JAN 1991,GER,2,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.45,43.59,56.31,4:33.78,22.80,3828
273,8471,Zachery ZIEMEK,23 FEB 1993,USA,3,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.74,45.83,55.72,4:40.69,23.72,3714
275,8470,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,5,Götzis (AUT),01 JUN 1997,7.66,45.98,63.5,4:52.22,22.84,3783
276,8469,Kevin MAYER,10 FEB 1992,FRA,1,Arona (ESP),07 JUN 2015,7.42,45.83,63.46,4:29.59,23.44,3930
277,8468,Simon EHAMMER,07 FEB 2000,SUI,2,"Olympiastadion, München (GER)",16 AUG 2022,8.31,34.92,53.46,4:48.72,23.41,3547
278,8467,Tom PAPPAS,06 SEP 1976,USA,1,"Sacramento, CA (USA)",21 JUL 2000,7.41,45.81,63.45,4:59.74,23.27,3574
279,8465,Lev LOBODIN,01 APR 1969,RUS,4,Götzis (AUT),27 MAY 2001,7.32,48.53,54.56,4:35.97,23.54,3740
279,8465,Trey HARDEE,07 FEB 1984,USA,1,"Austin, TX (USA)",06 APR 2006,7.7,48.24,60,5:06.73,23.50,3515
281,8463,Steve FRITZ,01 NOV 1967,USA,4,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.3,48.88,65.24,4:31.14,22.95,4032
281,8463,Tom PAPPAS,06 SEP 1976,USA,1,"Tucson, AZ (USA)",18 MAR 1999,7.52,48.66,63.52,5:02.42,23.94,3528
283,8462,Kai KAZMIREK,28 JAN 1991,GER,1,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.56,40.96,64.45,4:34.61,23.09,3869
284,8461,Mike MACZEY,28 SEP 1972,GER,7,Götzis (AUT),04 JUN 2000,7.59,44.56,62.27,4:29.93,22.81,4007
284,8461,Larbi BOURRADA,10 MAY 1988,ALG,5,"National Stadium, Beijing (CHN)",29 AUG 2015,7.51,41.53,63.82,4:16.61,23.01,4095
286,8460,Paul MEIER,27 JUL 1971,GER,2,Götzis (AUT),30 MAY 1993,7.86,44.18,60.52,4:44.42,23.52,3758
286,8460,Erki NOOL,25 JUN 1970,EST,2,Götzis (AUT),30 MAY 1999,7.79,39.67,64.23,4:39.00,23.02,3847
286,8460,Leonel SUÁREZ,01 SEP 1987,CUB,6,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.14,47.07,72.32,4:28.32,23.21,4064
289,8459,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,Talence (FRA),11 SEP 1994,6.81,52.2,55,4:32.01,22.95,3831
290,8458,Chris HUFFINS,19 APR 1970,USA,2,"Indianapolis, IN (USA)",12 JUN 1997,7.79,47.64,57.5,4:59.89,22.34,3729
290,8458,Kai KAZMIREK,28 JAN 1991,GER,6,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.68,43.37,63.17,4:38.67,22.31,3975
292,8457,Ashton EATON,21 JAN 1988,USA,1,"Eugene, OR (USA)",11 JUN 2010,7.9,41.71,52.41,4:21.85,23.38,3907
292,8457,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,7.29,46.25,56.07,4:29.54,23.67,3775
294,8456,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Talence (FRA),15 SEP 1996,7.42,45.48,65.64,4:30.40,23.72,3907
295,8454,Aleksey SYSOYEV,08 MAR 1985,RUS,4,"Olympiastadion, Berlin (GER)",20 AUG 2009,6.87,53.03,64.55,4:34.97,23.50,3883
296,8453,Alain BLONDEL,07 DEC 1962,FRA,1,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,7.5,45.08,60.64,4:20.48,22.92,4077
296,8453,Romain BARRAS,01 AUG 1980,FRA,1,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.24,44.51,65.77,4:28.43,23.53,3902
296,8453,Pierce LEPAGE,22 JAN 1996,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,7.87,44.46,55.22,4:59.76,23.03,3565
299,8451,Leonel SUÁREZ,01 SEP 1987,CUB,1,"Stadionring, Ratingen (GER)",22 JUN 2008,7.23,42.25,69.96,4:21.54,22.88,4090
300,8450,Torsten VOSS,24 MAR 1963,GDR,4,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.85,43.64,57.76,4:47.15,22.97,3747
301,8448,Kai KAZMIREK,28 JAN 1991,GER,6,"National Stadium, Beijing (CHN)",29 AUG 2015,7.4,40.08,62.55,4:35.61,23.76,3689
302,8447,Erki NOOL,25 JUN 1970,EST,3,Götzis (AUT),26 MAY 1996,7.88,40.72,63.64,4:42.39,23.43,3780
302,8447,Hans VAN ALPHEN,12 JAN 1982,BEL,4,"Olympic Stadium, London (GBR)",09 AUG 2012,7.64,48.28,61.69,4:22.50,24.00,4011
302,8447,Lindon VICTOR,28 FEB 1993,GRN,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.42,54.85,63.93,4:55.00,23.26,3809
305,8446,Kevin MAYER,10 FEB 1992,FRA,4,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.5,45.37,66.09,4:25.04,23.97,3962
305,8446,Lindon VICTOR,28 FEB 1993,GRN,1,"Tuscaloosa, AL (USA)",13 MAY 2016,7.09,54.56,68.96,4:47.12,23.06,3929
305,8446,Kevin MAYER,10 FEB 1992,FRA,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.32,48.99,65.77,4:35.45,23.41,3930
308,8445,Torsten VOSS,24 MAR 1963,GDR,1,Basel (SUI),05 JUL 1987,7.76,44.12,57.14,4:41.23,23.56,3722
308,8445,Ramil GANIYEV,23 SEP 1968,UZB,5,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.58,46.04,55.14,4:36.78,22.96,3826
308,8445,Stefan SCHMID,06 MAY 1970,GER,8,Götzis (AUT),04 JUN 2000,7.65,42.14,69.16,4:32.46,22.69,4057
308,8445,Johannes ERM,26 MAR 1998,EST,2,"Gunder Hägg Stadion, Gävle (SWE)",14 JUL 2019,7.97,43.24,59.6,4:34.04,23.33,3906
308,8445,Pierce LEPAGE,22 JAN 1996,CAN,5,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.79,41.19,57.42,4:45.09,22.84,3727
313,8444,Alain BLONDEL,07 DEC 1962,FRA,5,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.2,45.74,62.22,4:19.89,23.31,4002
313,8444,Kai KAZMIREK,28 JAN 1991,GER,1,"Stadionring, Ratingen (GER)",30 JUN 2019,7.74,44.71,56.95,4:41.72,23.05,3788
315,8443,Makenson GLETTY,02 APR 1999,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",24 SEP 2023,7.34,41.67,59.77,4:27.46,23.66,3782
316,8442,Damian WARNER,04 NOV 1989,CAN,5,"Olympic Stadium, London (GBR)",09 AUG 2012,7.54,45.9,62.77,4:29.85,23.52,3934
317,8440,Leonel SUÁREZ,01 SEP 1987,CUB,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.21,44.57,75.49,4:25.33,22.91,4155
318,8439,Pascal BEHRENBRUCH,19 JAN 1985,GER,5,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.09,48.06,69.72,4:39.45,23.01,3922
318,8439,Harrison WILLIAMS,07 MAR 1996,USA,1,"CVEATC, Chula Vista, CA (USA)",25 APR 2021,7.7,48.86,54.69,4:34.00,22.92,3937
320,8438,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,2,Götzis (AUT),28 MAY 1995,7.26,45.84,58.26,4:39.00,23.36,3716
320,8438,Erki NOOL,25 JUN 1970,EST,2,"Olympiastadion, München (GER)",08 AUG 2002,7.49,45.05,59.52,4:41.95,23.10,3767
320,8438,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,7.72,47.72,54.44,4:43.95,23.10,3769
323,8436,Dezső SZABÓ,04 SEP 1967,HUN,2,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.49,40.78,61.94,4:11.07,22.86,4140
323,8436,Eelco SINTNICOLAAS,07 APR 1987,NED,2,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.54,42.43,62.57,4:30.31,23.39,3879
323,8436,Simon EHAMMER,07 FEB 2000,SUI,1,"Stadion Schützenmatte, Basel (SUI)",18 JUN 2023,8.19,39.44,50.24,4:50.44,23.46,3530
326,8435,Zachery ZIEMEK,23 FEB 1993,USA,6,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.2,44.87,60.44,4:38.38,23.61,3690
327,8434,Maurice SMITH,28 SEP 1980,JAM,1,Kladno (CZE),19 JUN 2008,7.31,52.81,50.83,4:40.96,23.85,3660
327,8434,Niklas KAUL,11 FEB 1998,GER,6,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.09,44.62,69.74,4:13.81,23.52,4111
329,8433,Christian SCHENK,09 FEB 1965,GDR,3,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.55,47.34,61.62,4:13.77,23.62,4133
329,8433,Lev LOBODIN,01 APR 1969,RUS,2,"Stadionring, Ratingen (GER)",16 JUN 2002,7.35,47.96,54.65,4:38.41,23.52,3709
329,8433,Pascal BEHRENBRUCH,19 JAN 1985,GER,3,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,7.09,47.99,66.72,4:36.88,23.24,3880
332,8431,Tom PAPPAS,06 SEP 1976,USA,1,"Walnut, CA (USA)",28 JUL 2002,7.3,48.12,60.38,4:56.59,23.35,3578
332,8431,Arthur ABELE,30 JUL 1986,GER,1,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.42,45.42,68.1,4:30.84,24.24,3865
334,8430,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Talence (FRA),17 SEP 1995,7.29,48.34,59.68,4:34.54,23.99,3759
334,8430,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,3,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.9,46.64,60.05,4:41.39,23.59,3833
336,8429,Aleksandr POGORELOV,10 JAN 1980,RUS,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.64,48.44,58.23,4:55.90,23.39,3630
336,8429,Ilya SHKURENYOV,11 JAN 1991,ANA,1,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2021,7.48,48.2,58.54,4:36.82,22.88,3902
338,8428,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,"New York, NY (USA)",20 JUL 1998,7.48,47.31,70.96,4:45.05,23.46,3880
339,8427,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),16 JUN 1991,7.48,47.34,59.22,4:36.42,23.63,3800
339,8427,Lev LOBODIN,01 APR 1969,RUS,3,Götzis (AUT),30 MAY 1999,7.56,45.05,52.14,4:38.63,23.07,3723
339,8427,Michael SCHRADER,01 JUL 1987,GER,1,Ulm (GER),23 MAY 2013,7.82,45.62,62.99,4:29.50,22.92,4077
342,8426,Roman ŠEBRLE,26 NOV 1974,CZE,4,Götzis (AUT),30 MAY 1999,7.7,44.63,61.02,4:34.54,23.43,3874
343,8425,Chris HUFFINS,19 APR 1970,USA,1f,Talence (FRA),14 SEP 1997,7.84,51.92,52.02,5:18.40,23.55,3348
